player,pie,followers,salary
Jonathan Kuminga,0.08,59035,5739840
Jaylin Williams,0.08,26945,2000000
Jeremiah Robinson-Earl,0.081,9431,2000000
Brandon Boston Jr.,0.081,29052,1563518
Grayson Allen,0.081,254309,8500000
Blake Griffin,0.081,4390187,2905851
Damian Jones,0.082,25244,2298385
Cedi Osman,0.082,343296,7426088
Richaun Holmes,0.082,35678,11215260
Dwight Powell,0.082,19784,11080125
Sam Hauser,0.082,12995,1637966
Terence Davis,0.082,16806,4000000
Luke Kennard,0.083,94028,13745455
Coby White,0.083,66779,7413955
Thaddeus Young,0.084,71491,8000000
Mike Muscala,0.084,0,3500000
Isaiah Hartenstein,0.084,7350,7804879
De'Anthony Melton,0.084,27194,8250000
Usman Garuba,0.085,21173,2471160
Bruce Brown,0.085,14710,6479000
Damion Lee,0.085,50538,2133278
Kennedy Chandler,0.085,20210,1200000
Deni Avdija,0.085,0,4916160
Jordan McLaughlin,0.086,8855,2160000
Cory Joseph,0.086,103094,5155500
Javonte Green,0.086,26362,1815677
T.J. Warren,0.086,56581,2628597
Naji Marshall,0.086,6080,1782621
Dalano Banton,0.086,8991,1563518
O.G. Anunoby,0.086,0,17357143
Darius Bazley,0.086,24000,4264628
Donte DiVincenzo,0.086,20150,4500000
Devonte' Graham,0.087,33909,11550000
Goga Bitadze,0.087,1523,5377520
Obi Toppin,0.087,53129,5348280
John Collins,0.087,34723,23500000
Bennedict Mathurin,0.087,31850,6586800
Josh Richardson,0.088,79979,12196094
Daniel Theis,0.088,60743,8694369
Jericho Sims,0.088,1093,1639842
Patrick Baldwin Jr.,0.088,21560,2226000
Aleksej Pokusevski,0.088,9951,3261480
Kyle Lowry,0.088,910519,28333334
Andrew Wiggins,0.088,592109,33616770
Raul Neto,0.089,24438,2463490
Kira Lewis Jr.,0.089,0,4004280
Caris LeVert,0.089,54104,18796296
Harrison Barnes,0.089,582174,18352273
RJ Barrett,0.089,220821,10900634
Bruno Fernando,0.09,28152,2717391
Edmond Sumner,0.09,13632,1968175
Jordan Nwora,0.09,30674,3000000
Dennis Smith Jr.,0.09,178233,2133278
Jaden Hardy,0.09,18216,1017781
Otto Porter Jr.,0.09,2555,6000000
Kevin Huerter,0.09,52246,14508929
Jaxson Hayes,0.091,15881,6803012
Isaiah Stewart,0.091,20637,3433320
Gary Trent Jr.,0.091,78276,17505000
